App,ID,Author,Date,Rating,Helpful Count,Review,,
Instagram,1,Jung Hoseokie,4-Oct-20,3,1520," This app was used to be so good, but now I noticed that some features don't work anymore. As an android user, I saw many ios users customize their stories with different fonts and styles on the stories. But those features aren't available on andorid. Please fix this and give android users the equal ...Full ReviewThis app was used to be so good, but now I noticed that some features don't work anymore. As an android user, I saw many ios users customize their stories with different fonts and styles on the stories. But those features aren't available on andorid. Please fix this and give android users the equal rights to use the customizable stories too. And last but not the least, the algorithm. It has gone way worse than worse. Please fix the issues.",,
Instagram,2,Connor Johnson-Corwin,4-Oct-20,1,882," Instagram quite literally won't let me back into my account. The app started to crash so I tried logging out and logging back in, to be told that my password is correct. My username was slightly altered, but my password never changed. The app kept saying that my password was incorrect (even though i...Full ReviewInstagram quite literally won't let me back into my account. The app started to crash so I tried logging out and logging back in, to be told that my password is correct. My username was slightly altered, but my password never changed. The app kept saying that my password was incorrect (even though it isn't), so I tried sending an SMS code to my phone but the code has never been sent. I have tried waiting for multiple days for nothing to happen. I need someone to help ASAP.",,
Instagram,3,Yossarian_Yo,4-Oct-20,1,853," Still no frames for those filters which had them previously. Stories do not disappear after 24 hours. Photos are not saved after you post, ONLY if you make a draft and post it! Each and every update of yours is a joke. Your development is a joke. Your support is a joke. The only thing you care about...Full ReviewStill no frames for those filters which had them previously. Stories do not disappear after 24 hours. Photos are not saved after you post, ONLY if you make a draft and post it! Each and every update of yours is a joke. Your development is a joke. Your support is a joke. The only thing you care about is ads ads ads. More ads, less effectiveness.",,
Instagram,4,Joanne Crudass,3-Oct-20,1,107," I used to love this app, but recently I've had a notification saying ""promotions disabled account restricted"" when I've never used ads of any kind and can find no other reason as to why this'd be on my account. I've tried to review it several times but had no reply at all. This is starting to affect...Full ReviewI used to love this app, but recently I've had a notification saying ""promotions disabled account restricted"" when I've never used ads of any kind and can find no other reason as to why this'd be on my account. I've tried to review it several times but had no reply at all. This is starting to affect my reach and as an aspiring small business, it's important",,
Instagram,5,idk what to name myself,4-Oct-20,3,32," it's a very great app, we could socialize with more people easily, we could post updates about ourselves or our idols, etc. but the problem is, the algorithm of instagram has changed. as an owner of an art account, i say that it's now harder to get noticed by more people. please bring back the old a...Full Reviewit's a very great app, we could socialize with more people easily, we could post updates about ourselves or our idols, etc. but the problem is, the algorithm of instagram has changed. as an owner of an art account, i say that it's now harder to get noticed by more people. please bring back the old algorithm, because it also allows smaller artists get known as well.",,
Instagram,6,Kat,4-Oct-20,1,40," NOT a fan of the new feature 'Suggested Posts'. It's super annoying!!! Edited on 4.10.2020 The 'suggested posts' feature gets more annoying every day. Also, the app doesn't refresh properly and it very often doesn't show whether people liked or commented on your picture. So it sometimes looks like n...Full ReviewNOT a fan of the new feature 'Suggested Posts'. It's super annoying!!! Edited on 4.10.2020 The 'suggested posts' feature gets more annoying every day. Also, the app doesn't refresh properly and it very often doesn't show whether people liked or commented on your picture. So it sometimes looks like nothing's happened, but when you click on the heart, you see all of the comments/likes. Why does the notification not pop up anymore when you open the app???",,
Instagram,7,CaptainGumplz,4-Oct-20,4,27," A really good app I use it all the time. Only problems are that occasionally it glitches and you dont get notifications. I have found that the best way to fix this is to uninstall and reinstall. There is also a glitch where sometimes when posting a picture the description doesn't post with it so whe...Full ReviewA really good app I use it all the time. Only problems are that occasionally it glitches and you dont get notifications. I have found that the best way to fix this is to uninstall and reinstall. There is also a glitch where sometimes when posting a picture the description doesn't post with it so when you go to edit that will also not save. Just like before, I just uninstall and reinstall. But as a social media platform I believe it's one of the best. If not, the best. Edit: I don't have issues",,
Instagram,8,Lindsay Forstee,3-Oct-20,1,91," No problems until the new update. I hate it. I do not want post after post from people I'm not interested in. I want to see posts from the people I follow in chronological order. Seriously thinking of deleting my account. Edited to add yet another feature has been added that I don't want. I am not g...Full ReviewNo problems until the new update. I hate it. I do not want post after post from people I'm not interested in. I want to see posts from the people I follow in chronological order. Seriously thinking of deleting my account. Edited to add yet another feature has been added that I don't want. I am not going to use the shop tab, why has it replaced the heart? I would much rather be able to see who has interacted with my posts quickly. Yet another forced feature that makes this app less usable.",,
Instagram,9,Tiffany Jane,4-Oct-20,3,29," The app is very useful and fun to be creative, but recently I have been blocked from liking and commenting and even posting im not even sure why it was supposed to be expired several days ago but still isn't working I've tried deleting the app and everything nothing is working and I'm starting to di...Full ReviewThe app is very useful and fun to be creative, but recently I have been blocked from liking and commenting and even posting im not even sure why it was supposed to be expired several days ago but still isn't working I've tried deleting the app and everything nothing is working and I'm starting to dislike it, this is a struggle because I have over 2,000 followers and my account is slowly dying I love the app, if you get this fixed I will give a higher rating.",,
Instagram,10,JHILIK MUKHERJEE,4-Oct-20,4,38, It's a Amazing app we can make friends and all but I wish I can add at least 50 people in one group chat! And also that I can save my story with sounds! The rest is amazing I loved this app and also made many friends 🤭. But please try to see that I can add 50 people in one group chat! Thanks for re...Full ReviewIt's a Amazing app we can make friends and all but I wish I can add at least 50 people in one group chat! And also that I can save my story with sounds! The rest is amazing I loved this app and also made many friends 🤭. But please try to see that I can add 50 people in one group chat! Thanks for reading this 🙏 And giving your time I hope the problems I face can be fi,,
